query_id,utterance,expected_agent,supervisor_prediction,rule_prediction,supervisor_latency_ms,rule_latency_ms,supervisor_correct,rule_correct,model,dataset_version,dataset_sha256
exp2_001,Can you give me the exact number of interview rounds for the Aether hardware engineer role?,company_research,company_research,company_research,13921.192899986636,1.2009000056423247,True,True,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_002,Is the probation period at NovaTech completely unpaid?,company_research,company_research,company_research,13041.235800017603,0.043899985030293465,True,True,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_003,What is the maximum active backlog count permitted at Meridian FinTech?,company_research,company_research,company_research,14069.209400040563,0.027300033252686262,True,True,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_004,Are any specific object-oriented design patterns asked during the NovaTech technical round?,company_research,company_research,company_research,16266.561699972954,0.07619999814778566,True,True,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_005,Do you have any stats on the average CTC offered to electronics students at Aether?,company_research,company_research,company_research,13831.823999993503,0.05319999763742089,True,True,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_006,Please make me a three-week schedule focused entirely on mastering dynamic programming and greedy algorithms.,planner,planner,planner,13673.656300001312,0.09119999594986439,True,True,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_007,I need to revise my timetable because I have a mock test coming up this weekend.,planner,planner,planner,14904.169200046454,0.056100019719451666,True,True,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_008,Can you map out what I should study to get ready for the cognitive assessment next month?,planner,planner,company_research,14821.060099988244,0.063000014051795,True,False,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_009,Help me build a daily routine for practicing quantitative aptitude questions.,planner,planner,planner,18061.250299972016,0.056999968364834785,True,True,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_010,What topics should I add to my curriculum to improve my systems design knowledge?,planner,planner,planner,12830.42439998826,0.03559998003765941,True,True,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_011,I am totally stuck on the sliding window problems and can't seem to get them right.,progress,progress,progress,13185.847699991427,0.053799943998456,True,True,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_012,I just got the results back from my first mock interview and I passed with flying colors!,progress,progress,progress,13941.801300039515,0.022799998987466097,True,True,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_013,My performance on the greedy algorithm quiz was 40% and I feel terrible.,progress,progress,progress,13221.994899970014,0.03559998003765941,True,True,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_014,How many questions have I successfully solved in the trees and graphs section so far?,progress,progress,company_research,15858.245800016448,0.04999997327104211,True,False,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_015,I finally finished the complete OS and DBMS syllabus today.,progress,progress,progress,13221.63330001058,0.029499991796910763,True,True,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_016,Please alert me two days before the Meridian FinTech registration closes.,notification,notification,notification,15305.060100043193,0.15869998605921865,True,True,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_017,Set a reminder for me to review my behavioral answers tomorrow evening.,notification,notification,notification,14892.42839999497,0.030800001695752144,True,True,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_018,Can you notify me when the Aether robotics pre-placement talk starts?,notification,notification,notification,14475.141100003384,0.03290001768618822,True,True,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_019,I need a deadline set for this Friday to complete all my resume updates.,notification,notification,notification,17363.425399991684,0.036100042052567005,True,True,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
exp2_020,Ping me at 9 AM tomorrow so I remember to take the aptitude mock test.,notification,notification,company_research,16104.762500035577,0.06709998706355691,True,False,gemini-3.1-flash-lite,routing_queries_v1.0,ee0c4f0d7dd698417f173de097eedc5e5367d18a07e4634035da1cac919ad74f
